area,sex,age_group,population
Bukit Panjang - Total,female,fe60-64,4990
Bangkit,female,fe60-64,990
Dairy Farm,female,fe60-64,220
Fajar,female,fe60-64,870
Jelebu,female,fe60-64,1290
Nature Reserve,female,fe60-64,140
Saujana,female,fe60-64,900
Senja,female,fe60-64,590
Bukit Timah - Total,female,fe60-64,2580
Anak Bukit,female,fe60-64,910
Coronation Road,female,fe60-64,180
Farrer Court,female,fe60-64,140
Hillcrest,female,fe60-64,280
Holland Road,female,fe60-64,290
Leedon Park,female,fe60-64,230
Swiss Club,female,fe60-64,160
Ulu Pandan,female,fe60-64,390
Central Water Catchment - Total,female,fe60-64,-
Central Water Catchment,female,fe60-64,-
Changi- Total,female,fe60-64,40
Changi Airport,female,fe60-64,-
Changi Point,female,fe60-64,20
Changi West,female,fe60-64,20
Changi Bay - Total,female,fe60-64,-
Changi Bay,female,fe60-64,-
Choa Chu Kang - Total,female,fe60-64,6050
Choa Chu Kang Central,female,fe60-64,680
Choa Chu Kang North,female,fe60-64,1010
Keat Hong,female,fe60-64,810
Peng Siang,female,fe60-64,1150
Teck Whye,female,fe60-64,1040
Yew Tee,female,fe60-64,1350
Clementi - Total,female,fe60-64,3320
Clementi Central,female,fe60-64,540
Clementi North,female,fe60-64,1040
Clementi West,female,fe60-64,640
Clementi Woods,female,fe60-64,560
Faber,female,fe60-64,120
Pandan,female,fe60-64,-
Sunset Way,female,fe60-64,250
Toh Tuck,female,fe60-64,-
West Coast,female,fe60-64,170
Downtown Core - Total,female,fe60-64,80
Anson,female,fe60-64,-
Bayfront Subzone,female,fe60-64,-
Bugis,female,fe60-64,20
Cecil,female,fe60-64,-
Central Subzone,female,fe60-64,20
City Hall,female,fe60-64,-
Clifford Pier,female,fe60-64,-
Marina Centre,female,fe60-64,-
Maxwell,female,fe60-64,-
Nicoll,female,fe60-64,10
Phillip,female,fe60-64,-
Raffles Place,female,fe60-64,-
Tanjong Pagar,female,fe60-64,10
Geylang - Total,female,fe60-64,4300
Aljunied,female,fe60-64,1510
Geylang East,female,fe60-64,1140
Kallang Way,female,fe60-64,-
Kampong Ubi,female,fe60-64,560
Macpherson,female,fe60-64,1090
Hougang - Total,female,fe60-64,9270
Defu Industrial Park,female,fe60-64,-
Hougang Central,female,fe60-64,210
Hougang East,female,fe60-64,930
Hougang West,female,fe60-64,2240
Kangkar,female,fe60-64,1110
Kovan,female,fe60-64,1010
Lorong Ah Soo,female,fe60-64,1420
Lorong Halus,female,fe60-64,-
Tai Seng,female,fe60-64,580
Trafalgar,female,fe60-64,1780
Jurong East - Total,female,fe60-64,3400
International Business Park,female,fe60-64,-
Jurong Gateway,female,fe60-64,10
Jurong Port,female,fe60-64,-
Jurong River,female,fe60-64,-
Lakeside (Business),female,fe60-64,-
Lakeside (Leisure),female,fe60-64,40
Penjuru Crescent,female,fe60-64,-
Teban Gardens,female,fe60-64,710
Toh Guan,female,fe60-64,710
Yuhua East,female,fe60-64,1120
Yuhua West,female,fe60-64,810
Jurong West - Total,female,fe60-64,8770
Boon Lay Place,female,fe60-64,800
Chin Bee,female,fe60-64,-
Hong Kah,female,fe60-64,2260
Jurong West Central,female,fe60-64,2040
Kian Teck,female,fe60-64,-
Safti,female,fe60-64,-
Taman Jurong,female,fe60-64,1200
Wenya,female,fe60-64,200
Yunnan,female,fe60-64,2280
Kallang - Total,female,fe60-64,3650
Bendemeer,female,fe60-64,1380
Boon Keng,female,fe60-64,490
Crawford,female,fe60-64,280
Geylang Bahru,female,fe60-64,440
Kallang Bahru,female,fe60-64,-
Kampong Bugis,female,fe60-64,50
Kampong Java,female,fe60-64,370
Lavender,female,fe60-64,300
Tanjong Rhu,female,fe60-64,340
Lim Chu Kang - Total,female,fe60-64,-
Lim Chu Kang,female,fe60-64,-
Mandai - Total,female,fe60-64,80
Mandai East,female,fe60-64,-
Mandai Estate,female,fe60-64,80
Mandai West,female,fe60-64,-
Marina East - Total,female,fe60-64,-
Marina East,female,fe60-64,-
Marina South - Total,female,fe60-64,-
Marina South,female,fe60-64,-
Marine Parade - Total,female,fe60-64,1520
East Coast,female,fe60-64,-
Katong,female,fe60-64,300
Marina East (Mp),female,fe60-64,-
Marine Parade,female,fe60-64,880
Mountbatten,female,fe60-64,330
Museum - Total,female,fe60-64,10
Bras Basah,female,fe60-64,-
Dhoby Ghaut,female,fe60-64,10
Fort Canning,female,fe60-64,10
Newton - Total,female,fe60-64,240
Cairnhill,female,fe60-64,110
Goodwood Park,female,fe60-64,30
Istana Negara,female,fe60-64,-
Monk's Hill,female,fe60-64,20
Newton Circus,female,fe60-64,-
Orange Grove,female,fe60-64,70
North-Eastern Islands - Total,female,fe60-64,-
North-Eastern Islands,female,fe60-64,-
Novena - Total,female,fe60-64,1580
Balestier,female,fe60-64,1160
Dunearn,female,fe60-64,120
Malcolm,female,fe60-64,80
Moulmein,female,fe60-64,200
Mount Pleasant,female,fe60-64,30
Orchard - Total,female,fe60-64,30
Boulevard,female,fe60-64,20
Somerset,female,fe60-64,-
Tanglin,female,fe60-64,10
Outram - Total,female,fe60-64,650
China Square,female,fe60-64,90
Chinatown,female,fe60-64,330
Pearl's Hill,female,fe60-64,230
People's Park,female,fe60-64,10
Pasir Ris - Total,female,fe60-64,4940
Flora Drive,female,fe60-64,490
Loyang East,female,fe60-64,100
Loyang West,female,fe60-64,-
Pasir Ris Central,female,fe60-64,1050
Pasir Ris Drive,female,fe60-64,2150
Pasir Ris Park,female,fe60-64,110
Pasir Ris Wafer Fab Park,female,fe60-64,-
Pasir Ris West,female,fe60-64,1040
Paya Lebar - Total,female,fe60-64,-
Airport Road,female,fe60-64,-
Paya Lebar East,female,fe60-64,-
Paya Lebar North,female,fe60-64,-
Paya Lebar West,female,fe60-64,-
Plab,female,fe60-64,-
Pioneer - Total,female,fe60-64,-
Benoi Sector,female,fe60-64,-
Gul Basin,female,fe60-64,-
Gul Circle,female,fe60-64,-
Joo Koon,female,fe60-64,-
Pioneer Sector,female,fe60-64,-
Punggol - Total,female,fe60-64,3410
Coney Island,female,fe60-64,-
Matilda,female,fe60-64,950
Northshore,female,fe60-64,10
Punggol Canal,female,fe60-64,-
Punggol Field,female,fe60-64,1270
Punggol Town Centre,female,fe60-64,340
Waterway East,female,fe60-64,840
Queenstown - Total,female,fe60-64,3330
Commonwealth,female,fe60-64,280
Dover,female,fe60-64,380
Ghim Moh,female,fe60-64,470
Holland Drive,female,fe60-64,470
Kent Ridge,female,fe60-64,-
Margaret Drive,female,fe60-64,410
Mei Chin,female,fe60-64,620
National University Of S'pore,female,fe60-64,-
One North,female,fe60-64,10
Pasir Panjang 1,female,fe60-64,150
Pasir Panjang 2,female,fe60-64,130
Port,female,fe60-64,10
Queensway,female,fe60-64,10
Singapore Polytechnic,female,fe60-64,-
Tanglin Halt,female,fe60-64,400
River Valley - Total,female,fe60-64,290
Institution Hill,female,fe60-64,70
Leonie Hill,female,fe60-64,90
One Tree Hill,female,fe60-64,70
Oxley,female,fe60-64,50
Paterson,female,fe60-64,10
Rochor - Total,female,fe60-64,480
Bencoolen,female,fe60-64,40
Farrer Park,female,fe60-64,110
Kampong Glam,female,fe60-64,-
Little India,female,fe60-64,140
Mackenzie,female,fe60-64,-
Mount Emily,female,fe60-64,30
Rochor Canal,female,fe60-64,-
Selegie,female,fe60-64,10
Sungei Road,female,fe60-64,60
Victoria,female,fe60-64,90
Seletar - Total,female,fe60-64,10
Pulau Punggol Barat,female,fe60-64,-
Pulau Punggol Timor,female,fe60-64,-
Seletar,female,fe60-64,10
Seletar Aerospace Park,female,fe60-64,-
Sembawang - Total,female,fe60-64,2700
Admiralty,female,fe60-64,400
Sembawang Central,female,fe60-64,1050
Sembawang East,female,fe60-64,240
Sembawang North,female,fe60-64,790
Sembawang Springs,female,fe60-64,160
Sembawang Straits,female,fe60-64,50
Senoko North,female,fe60-64,-
Senoko South,female,fe60-64,-
The Wharves,female,fe60-64,-
Sengkang - Total,female,fe60-64,6950
Anchorvale,female,fe60-64,1200
Compassvale,female,fe60-64,460
Fernvale,female,fe60-64,1240
Lorong Halus North,female,fe60-64,-
Rivervale,female,fe60-64,2090
Sengkang Town Centre,female,fe60-64,1970
Sengkang West,female,fe60-64,-
Serangoon - Total,female,fe60-64,5290
Lorong Chuan,female,fe60-64,320
Seletar Hills,female,fe60-64,570
Serangoon Central,female,fe60-64,1270
Serangoon Garden,female,fe60-64,1720
Serangoon North,female,fe60-64,670
Serangoon North Ind Estate,female,fe60-64,-
Upper Paya Lebar,female,fe60-64,750
Simpang - Total,female,fe60-64,-
Pulau Seletar,female,fe60-64,-
Simpang North,female,fe60-64,-
Simpang South,female,fe60-64,-
Tanjong Irau,female,fe60-64,-
Singapore River - Total,female,fe60-64,70
Boat Quay,female,fe60-64,10
Clarke Quay,female,fe60-64,-
Robertson Quay,female,fe60-64,60
Southern Islands - Total,female,fe60-64,50
Sentosa,female,fe60-64,50
Southern Group,female,fe60-64,-
Straits View - Total,female,fe60-64,-
Straits View,female,fe60-64,-
Sungei Kadut - Total,female,fe60-64,30
Gali Batu,female,fe60-64,-
Kranji,female,fe60-64,-
Pang Sua,female,fe60-64,-
Reservoir View,female,fe60-64,-
Turf Club,female,fe60-64,30
Tampines - Total,female,fe60-64,11010
Simei,female,fe60-64,1630
Tampines East,female,fe60-64,5870
Tampines North,female,fe60-64,140
Tampines West,female,fe60-64,3300
Xilin,female,fe60-64,80
Tanglin - Total,female,fe60-64,640
Chatsworth,female,fe60-64,170
Nassim,female,fe60-64,280
Ridout,female,fe60-64,50
Tyersall,female,fe60-64,130
Tengah - Total,female,fe60-64,-
Brickland,female,fe60-64,-
Forest Hill,female,fe60-64,-
Garden,female,fe60-64,-
Park,female,fe60-64,-
Plantation,female,fe60-64,-
Tengah Industrial Estate,female,fe60-64,-
Toa Payoh - Total,female,fe60-64,4780
Bidadari,female,fe60-64,-
Boon Teck,female,fe60-64,530
Braddell,female,fe60-64,390
Joo Seng,female,fe60-64,260
Kim Keat,female,fe60-64,400
Lorong 8 Toa Payoh,female,fe60-64,310
Pei Chun,female,fe60-64,430
Potong Pasir,female,fe60-64,550
Sennett,female,fe60-64,250
Toa Payoh Central,female,fe60-64,970
Toa Payoh West,female,fe60-64,610
Woodleigh,female,fe60-64,80
Tuas - Total,female,fe60-64,-
Tengeh,female,fe60-64,-
Tuas Bay,female,fe60-64,-
Tuas North,female,fe60-64,-
Tuas Promenade,female,fe60-64,-
Tuas View,female,fe60-64,-
Tuas View Extension,female,fe60-64,-
Western Islands - Total,female,fe60-64,-
Jurong Island And Bukom,female,fe60-64,-
Semakau,female,fe60-64,-
Sudong,female,fe60-64,-
Western Water Catchment - Total,female,fe60-64,20
Bahar,female,fe60-64,-
Cleantech,female,fe60-64,-
Murai,female,fe60-64,20
Woodlands - Total,female,fe60-64,7610
Greenwood Park,female,fe60-64,-
Midview,female,fe60-64,1010
North Coast,female,fe60-64,490
Senoko West,female,fe60-64,-
Woodgrove,female,fe60-64,1150
Woodlands East,female,fe60-64,2700
Woodlands Regional Centre,female,fe60-64,-
Woodlands South,female,fe60-64,1000
Woodlands West,female,fe60-64,1260
Yishun - Total,female,fe60-64,8070
Khatib,female,fe60-64,520
Lower Seletar,female,fe60-64,280
Nee Soon,female,fe60-64,40
Northland,female,fe60-64,1240
Springleaf,female,fe60-64,170
Yishun Central,female,fe60-64,90
Yishun East,female,fe60-64,1750
Yishun South,female,fe60-64,1670
Yishun West,female,fe60-64,2330
Total,female,fe65-69,116790
Ang Mo Kio - Total,female,fe65-69,6480
Ang Mo Kio Town Centre,female,fe65-69,140
Cheng San,female,fe65-69,1210
Chong Boon,female,fe65-69,1130
Kebun Bahru,female,fe65-69,910
Sembawang Hills,female,fe65-69,220
Shangri-La,female,fe65-69,610
Tagore,female,fe65-69,270
Townsville,female,fe65-69,860
Yio Chu Kang,female,fe65-69,-
Yio Chu Kang East,female,fe65-69,140
Yio Chu Kang North,female,fe65-69,-
Yio Chu Kang West,female,fe65-69,1000
Bedok - Total,female,fe65-69,9890
Bayshore,female,fe65-69,170
Bedok North,female,fe65-69,3220
Bedok Reservoir,female,fe65-69,790
Bedok South,female,fe65-69,1750
Frankel,female,fe65-69,970
Kaki Bukit,female,fe65-69,1400
Kembangan,female,fe65-69,1360
Siglap,female,fe65-69,240
Bishan - Total,female,fe65-69,3020
Bishan East,female,fe65-69,1120
Marymount,female,fe65-69,910
Upper Thomson,female,fe65-69,1000
Boon Lay - Total,female,fe65-69,-
Liu Fang,female,fe65-69,-
Samulun,female,fe65-69,-
Shipyard,female,fe65-69,-
Tukang,female,fe65-69,-
Bukit Batok - Total,female,fe65-69,4640
Brickworks,female,fe65-69,220
Bukit Batok Central,female,fe65-69,880
Bukit Batok East,female,fe65-69,520
Bukit Batok South,female,fe65-69,370
Bukit Batok West,female,fe65-69,560
Gombak,female,fe65-69,280
Guilin,female,fe65-69,400
Hillview,female,fe65-69,530
Hong Kah North,female,fe65-69,880
Bukit Merah - Total,female,fe65-69,5430
Alexandra Hill,female,fe65-69,560
Alexandra North,female,fe65-69,40
Bukit Ho Swee,female,fe65-69,550
Bukit Merah,female,fe65-69,40
City Terminals,female,fe65-69,-
Depot Road,female,fe65-69,200
Everton Park,female,fe65-69,340
Henderson Hill,female,fe65-69,500
Kampong Tiong Bahru,female,fe65-69,390
Maritime Square,female,fe65-69,70
Redhill,female,fe65-69,260
Singapore General Hospital,female,fe65-69,-
Telok Blangah Drive,female,fe65-69,660
Telok Blangah Rise,female,fe65-69,620
Telok Blangah Way,female,fe65-69,350
Tiong Bahru,female,fe65-69,460
Tiong Bahru Station,female,fe65-69,400
Bukit Panjang - Total,female,fe65-69,3650
Bangkit,female,fe65-69,730
Dairy Farm,female,fe65-69,150
Fajar,female,fe65-69,680
Jelebu,female,fe65-69,950
Nature Reserve,female,fe65-69,100
Saujana,female,fe65-69,600
Senja,female,fe65-69,460
Bukit Timah - Total,female,fe65-69,2210
Anak Bukit,female,fe65-69,720
Coronation Road,female,fe65-69,170
Farrer Court,female,fe65-69,140
Hillcrest,female,fe65-69,210
Holland Road,female,fe65-69,260
Leedon Park,female,fe65-69,180
Swiss Club,female,fe65-69,150
Ulu Pandan,female,fe65-69,380
Central Water Catchment - Total,female,fe65-69,-
Central Water Catchment,female,fe65-69,-
Changi- Total,female,fe65-69,30
Changi Airport,female,fe65-69,-
Changi Point,female,fe65-69,20
Changi West,female,fe65-69,10
Changi Bay - Total,female,fe65-69,-
Changi Bay,female,fe65-69,-
Choa Chu Kang - Total,female,fe65-69,4120
Choa Chu Kang Central,female,fe65-69,470
Choa Chu Kang North,female,fe65-69,670
Keat Hong,female,fe65-69,530
Peng Siang,female,fe65-69,860
Teck Whye,female,fe65-69,770
Yew Tee,female,fe65-69,820
Clementi - Total,female,fe65-69,3550
Clementi Central,female,fe65-69,600
Clementi North,female,fe65-69,1210
Clementi West,female,fe65-69,630
Clementi Woods,female,fe65-69,580
Faber,female,fe65-69,110
Pandan,female,fe65-69,-
Sunset Way,female,fe65-69,270
Toh Tuck,female,fe65-69,-
West Coast,female,fe65-69,160
Downtown Core - Total,female,fe65-69,70
Anson,female,fe65-69,-
Bayfront Subzone,female,fe65-69,-
Bugis,female,fe65-69,40
Cecil,female,fe65-69,-
Central Subzone,female,fe65-69,10
City Hall,female,fe65-69,-
Clifford Pier,female,fe65-69,-
Marina Centre,female,fe65-69,-
Maxwell,female,fe65-69,-
Nicoll,female,fe65-69,10
Phillip,female,fe65-69,-
Raffles Place,female,fe65-69,-
Tanjong Pagar,female,fe65-69,10
Geylang - Total,female,fe65-69,3690
Aljunied,female,fe65-69,1340
Geylang East,female,fe65-69,1010
Kallang Way,female,fe65-69,-
Kampong Ubi,female,fe65-69,420
Macpherson,female,fe65-69,920
Hougang - Total,female,fe65-69,7200
Defu Industrial Park,female,fe65-69,-
Hougang Central,female,fe65-69,140
Hougang East,female,fe65-69,690
Hougang West,female,fe65-69,1710
Kangkar,female,fe65-69,930
Kovan,female,fe65-69,730
Lorong Ah Soo,female,fe65-69,1210
Lorong Halus,female,fe65-69,-
Tai Seng,female,fe65-69,470
Trafalgar,female,fe65-69,1320
Jurong East - Total,female,fe65-69,2980
International Business Park,female,fe65-69,-
Jurong Gateway,female,fe65-69,-
Jurong Port,female,fe65-69,-
Jurong River,female,fe65-69,-
Lakeside (Business),female,fe65-69,-
Lakeside (Leisure),female,fe65-69,50
Penjuru Crescent,female,fe65-69,-
Teban Gardens,female,fe65-69,750
Toh Guan,female,fe65-69,490
Yuhua East,female,fe65-69,990
Yuhua West,female,fe65-69,700
Jurong West - Total,female,fe65-69,7280
Boon Lay Place,female,fe65-69,770
Chin Bee,female,fe65-69,-
Hong Kah,female,fe65-69,1990
Jurong West Central,female,fe65-69,1540
Kian Teck,female,fe65-69,-
Safti,female,fe65-69,-
Taman Jurong,female,fe65-69,960
Wenya,female,fe65-69,150
Yunnan,female,fe65-69,1860
Kallang - Total,female,fe65-69,3480
Bendemeer,female,fe65-69,1320
Boon Keng,female,fe65-69,440
Crawford,female,fe65-69,330
Geylang Bahru,female,fe65-69,420
Kallang Bahru,female,fe65-69,-
Kampong Bugis,female,fe65-69,40
Kampong Java,female,fe65-69,370
Lavender,female,fe65-69,280
Tanjong Rhu,female,fe65-69,300
Lim Chu Kang - Total,female,fe65-69,-
Lim Chu Kang,female,fe65-69,-
Mandai - Total,female,fe65-69,40
Mandai East,female,fe65-69,-
Mandai Estate,female,fe65-69,40
Mandai West,female,fe65-69,-
Marina East - Total,female,fe65-69,-
Marina East,female,fe65-69,-
Marina South - Total,female,fe65-69,-
Marina South,female,fe65-69,-
Marine Parade - Total,female,fe65-69,1400
East Coast,female,fe65-69,-
Katong,female,fe65-69,260
Marina East (Mp),female,fe65-69,-
Marine Parade,female,fe65-69,860
Mountbatten,female,fe65-69,280
Museum - Total,female,fe65-69,10
Bras Basah,female,fe65-69,-
Dhoby Ghaut,female,fe65-69,-
Fort Canning,female,fe65-69,-
Newton - Total,female,fe65-69,200
Cairnhill,female,fe65-69,90
Goodwood Park,female,fe65-69,20
Istana Negara,female,fe65-69,-
Monk's Hill,female,fe65-69,20
Newton Circus,female,fe65-69,10
Orange Grove,female,fe65-69,50
North-Eastern Islands - Total,female,fe65-69,-
North-Eastern Islands,female,fe65-69,-
Novena - Total,female,fe65-69,1420
Balestier,female,fe65-69,990
Dunearn,female,fe65-69,120
Malcolm,female,fe65-69,80
Moulmein,female,fe65-69,200
Mount Pleasant,female,fe65-69,20
Orchard - Total,female,fe65-69,30
Boulevard,female,fe65-69,20
Somerset,female,fe65-69,-
Tanglin,female,fe65-69,10
Outram - Total,female,fe65-69,630
China Square,female,fe65-69,80
Chinatown,female,fe65-69,300
Pearl's Hill,female,fe65-69,240
People's Park,female,fe65-69,10
Pasir Ris - Total,female,fe65-69,3220
Flora Drive,female,fe65-69,300
Loyang East,female,fe65-69,60
Loyang West,female,fe65-69,10
Pasir Ris Central,female,fe65-69,660
Pasir Ris Drive,female,fe65-69,1420
Pasir Ris Park,female,fe65-69,90
Pasir Ris Wafer Fab Park,female,fe65-69,-
Pasir Ris West,female,fe65-69,690
Paya Lebar - Total,female,fe65-69,-
Airport Road,female,fe65-69,-
Paya Lebar East,female,fe65-69,-
Paya Lebar North,female,fe65-69,-
Paya Lebar West,female,fe65-69,-
Plab,female,fe65-69,-
Pioneer - Total,female,fe65-69,-
Benoi Sector,female,fe65-69,-
Gul Basin,female,fe65-69,-
Gul Circle,female,fe65-69,-
Joo Koon,female,fe65-69,-
Pioneer Sector,female,fe65-69,-
Punggol - Total,female,fe65-69,2880
Coney Island,female,fe65-69,-
Matilda,female,fe65-69,850
Northshore,female,fe65-69,10
Punggol Canal,female,fe65-69,-
Punggol Field,female,fe65-69,990
Punggol Town Centre,female,fe65-69,270
Waterway East,female,fe65-69,760
Queenstown - Total,female,fe65-69,3120
Commonwealth,female,fe65-69,240
Dover,female,fe65-69,330
Ghim Moh,female,fe65-69,460
Holland Drive,female,fe65-69,510
Kent Ridge,female,fe65-69,-
Margaret Drive,female,fe65-69,430
Mei Chin,female,fe65-69,510
National University Of S'pore,female,fe65-69,-
One North,female,fe65-69,10
Pasir Panjang 1,female,fe65-69,120
Pasir Panjang 2,female,fe65-69,130
Port,female,fe65-69,10
Queensway,female,fe65-69,10
Singapore Polytechnic,female,fe65-69,-
Tanglin Halt,female,fe65-69,370
River Valley - Total,female,fe65-69,210
Institution Hill,female,fe65-69,70
Leonie Hill,female,fe65-69,60
One Tree Hill,female,fe65-69,50
Oxley,female,fe65-69,40
Paterson,female,fe65-69,-
Rochor - Total,female,fe65-69,480
Bencoolen,female,fe65-69,60
Farrer Park,female,fe65-69,100
Kampong Glam,female,fe65-69,-
Little India,female,fe65-69,130
Mackenzie,female,fe65-69,-
Mount Emily,female,fe65-69,20
Rochor Canal,female,fe65-69,-
Selegie,female,fe65-69,10
Sungei Road,female,fe65-69,80
Victoria,female,fe65-69,80
Seletar - Total,female,fe65-69,10
Pulau Punggol Barat,female,fe65-69,-
Pulau Punggol Timor,female,fe65-69,-
Seletar,female,fe65-69,10
Seletar Aerospace Park,female,fe65-69,-
Sembawang - Total,female,fe65-69,1870
Admiralty,female,fe65-69,300
Sembawang Central,female,fe65-69,620
Sembawang East,female,fe65-69,220
Sembawang North,female,fe65-69,560
Sembawang Springs,female,fe65-69,130
Sembawang Straits,female,fe65-69,40
Senoko North,female,fe65-69,-
Senoko South,female,fe65-69,-
The Wharves,female,fe65-69,-
Sengkang - Total,female,fe65-69,5120
Anchorvale,female,fe65-69,910
Compassvale,female,fe65-69,400
Fernvale,female,fe65-69,1040
Lorong Halus North,female,fe65-69,-
Rivervale,female,fe65-69,1480
